Date,Curve,Povanance,Room,Replicate,Unit,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
24/02/2016,93,B,1,5,HIE2,Remark=,"""11:17:50 B-R1-05""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,93,B,1,5,HIE2,Remark=,"""11:18:03 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,93,B,1,5,HIE2,1,11:20:29,178,0,25.64650384,0.91584653,278.4205771,9.451251093,1.307147484,35.95568848,6,1.420000017,1,2.840000033,35.17860031,35.95568848,33.98041534,399.9108276,342.1349792,27.93661118,45.9749527,49.50170898,81.46437836,299.9188232,1499.277588,635.0253906,101.0792923,6.529651642,-2.089185953,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499864705,0.009451251,309.1056885,308.3286003,239.8844087,-2.178952073,5.954263166,58.90685451,12.93190182,35.56714439,5.828207021,0.692521415,4.647115682,1.181091339,0.448548775,28.14255489,0.813774077,82.48134485,329.9438596,0.064112668
24/02/2016,93,B,1,5,HIE2,2,11:22:50,319,0,17.05883992,0.908035795,197.700418,8.896643886,1.240038217,35.46921158,6,1.420000017,1,2.840000033,34.91398239,35.46921158,33.94747925,278.7676392,240.361557,28.08517075,45.08143616,50.49891663,81.05927277,299.9095459,1500.629883,771.8175659,101.0785141,7.994419098,-2.072588205,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499849243,0.008896644,308.6192116,308.0639824,240.1007759,-1.859268732,5.796802798,57.34950547,12.26806932,35.19159698,5.70857763,0.688046168,4.55676458,1.15181305,0.445545549,19.98326448,0.822512636,82.91584273,232.2526015,0.060901281
24/02/2016,93,B,1,5,HIE2,Remark=,"""11:24:52 Warning! Large Deltas in match: CO2=1.6, H2O=2.50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,93,B,1,5,HIE2,3,11:25:11,460,0,5.722066789,0.528518642,103.4553904,7.358161687,1.58646159,35.47917175,6,1.420000017,1,2.840000033,36.47724915,35.47917175,36.89398575,139.8156891,126.5076752,27.58016396,41.68531418,45.49860764,68.76766968,299.9514771,1499.981812,1202.308472,101.0794449,6.408321381,-4.57519722,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499919128,0.007358162,308.6291718,309.6272491,239.9970845,-0.838152166,5.799990007,57.3805091,15.69519492,35.97821045,5.961642077,0.445594371,4.213528417,1.74811366,0.284922712,10.45721343,0.817779556,75.73699326,123.7876787,0.035009311
24/02/2016,93,B,1,5,HIE2,Remark=,"""11:27:21 Warning! Large Deltas in match: CO2=0.7, H2O=-1.00""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,93,B,1,5,HIE2,4,11:27:40,609,0,0.831244313,0.534256498,72.45856988,7.271504572,1.554840262,35.17584991,6,1.420000017,1,2.840000033,36.32745361,35.17584991,36.9066658,80.0279007,77.24153137,27.09687996,41.04574585,45.06868744,68.26904297,299.940094,1498.667725,1229.154663,101.0766907,5.738414764,-3.573553085,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499900157,0.007271505,308.3258499,309.4774536,239.7868306,-0.773888394,5.703608419,56.42852354,15.38277769,35.75165176,5.88777498,0.449666011,4.148768157,1.739006823,0.287586843,7.323872454,0.938077853,75.88008455,76.84639764,0.008207917
24/02/2016,93,B,1,5,HIE2,Remark=,"""11:29:58 Warning! Large Deltas in match: CO2=0.5, H2O=-6.17""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,93,B,1,5,HIE2,5,11:30:17,766,0,3.788571498,1.933754327,94.95002609,11.02482402,0.91705252,35.5894928,6,1.420000017,1,2.840000033,35.17711639,35.5894928,33.72767258,111.1421356,101.3294678,27.68326378,48.6625824,49.05245209,86.22606659,299.9619141,1499.818848,1252.495483,101.0702972,5.26858139,2.601305008,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499936523,0.011024824,308.7394928,308.3271164,239.9710103,-2.935030779,5.835394188,57.73599512,9.073412718,35.3833046,5.769376075,1.15042835,4.918341667,0.851034408,0.763475109,9.59662736,0.937042582,90.12530451,99.52856233,0.034306349
