"Room","Date","LA","GPP","R_leaf","R_root","R_stem","R_leaf_se","R_root_se","R_stem_se"
1,2016-01-08,0.00272757418089654,0.0152605002927684,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-17,0.00331890848200101,0.0199040302891924,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-15,0.00308386873902906,0.014552001915696,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-26,0.00570777198060463,0.0294766623531239,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-24,0.0049551406765627,0.0174267002775691,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-11,0.0028180886827861,0.0194569396188832,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-09,0.00275182254820936,0.012011191505765,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-18,0.00346973705561024,0.0234268706167937,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-16,0.00319102583108449,0.0165114642324362,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-27,0.0061391383415887,0.0239455280405941,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-25,0.00531360757861558,0.0176052808476214,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-12,0.00286454717771324,0.0159862728564692,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-10,0.00278125392756201,0.0171945637877602,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-19,0.00364561259828165,0.0246923053548751,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-30,0.00767580103087274,0.0407618755052979,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-28,0.00660921112062662,0.0397920877765372,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-02-06,0.0132223899181974,0.0660200869992136,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-13,0.00292284977617504,0.0193141052368784,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-02-13,0.0228160480448344,0.149779965518894,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-22,0.00433928153603013,0.0117210818417631,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-31,0.00828124956513698,0.0515963350905218,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
1,2016-01-29,0.0071200331844989,0.0366174596959175,0.0342605092849285,0.0293164955281448,0.0305828472891263,0.00294041877409381,0.00265421015386982,0.00221048553848903
