"","chamber","DateTime","Tmin","Tmax","Tmean","Treat"
"1",1,2013-01-01,17.318408648173,39.9758581797282,26.7617489149494,"Ambient"
"2",1,2013-01-02,15.8935042063395,26.6938678741455,20.5926915673586,"Ambient"
"3",1,2013-01-03,16.0536155064901,28.1966155370076,21.1876328382334,"Ambient"
"4",1,2013-01-04,13.8241376876831,34.8068608601888,23.3827163426466,"Ambient"
"5",1,2013-01-05,14.9606804529826,38.9523648579915,25.6558778043182,"Ambient"
"6",1,2013-01-06,18.4822076797485,34.6695517222087,24.9520147973705,"Ambient"
"7",1,2013-01-07,19.6145704269409,33.39373143514,25.5915803987706,"Ambient"
"8",1,2013-01-08,16.6531464894613,41.9366195678711,30.8898659610406,"Ambient"
"9",1,2013-01-09,19.3903066635132,33.9960164388021,24.1102217622128,"Ambient"
"10",1,2013-01-10,18.3183539708455,25.700868733724,21.6125761106023,"Ambient"
"11",1,2013-01-11,17.529895846049,39.9118359883626,27.0796521689788,"Ambient"
"12",1,2013-01-12,17.7458689371745,38.6541311899821,24.7145896282675,"Ambient"
"13",1,2013-01-13,16.0350590705872,25.2794789632161,20.6047894468337,"Ambient"
"14",1,2013-01-14,15.1172067006429,24.3698020299276,19.1751019582313,"Ambient"
"15",1,2013-01-15,13.9182599385579,28.128904914856,20.7408557900163,"Ambient"
"16",1,2013-01-16,13.9552163759867,35.0552474975586,23.3483182884352,"Ambient"
"17",1,2013-01-17,19.4587530136108,36.1434995015462,26.1912092115289,"Ambient"
"18",1,2013-01-18,18.8401067733765,45.5234652201335,30.042197237989,"Ambient"
"19",1,2013-01-19,17.3367799123128,25.8650487263997,21.0984647508163,"Ambient"
"20",1,2013-01-20,16.9571458180745,23.5539618810018,20.4443397999878,"Ambient"
"21",1,2013-01-21,18.771795018514,29.5888944625855,23.1971845725531,"Ambient"
"22",1,2013-01-22,16.4510723114014,35.5212182362874,23.2766874280454,"Ambient"
"23",1,2013-01-23,21.0690574010213,26.6537957509359,22.8656251536475,"Ambient"
"24",1,2013-01-24,20.0090539296468,31.6878844579061,24.3916474272774,"Ambient"
"25",1,2013-01-25,18.5430636088053,35.1421162923177,26.0076527670484,"Ambient"
"26",1,2013-01-26,20.9601121902466,33.7503894805908,26.799873147284,"Ambient"
"27",1,2013-01-27,19.6765228907267,25.4711138202298,21.7658482033292,"Ambient"
"28",1,2013-01-28,19.0431629180908,22.6977831522624,21.0951050462902,"Ambient"
"29",1,2013-01-29,19.1104834771925,28.4881183624268,23.5004231521092,"Ambient"
"30",1,2013-01-30,18.9205099105835,28.5388180414836,23.0092902353588,"Ambient"
"31",1,2013-01-31,19.1567529042562,34.3529465993245,25.9987918082745,"Ambient"
"32",1,2013-02-13,17.9782744089762,25.128049659729,20.996851194471,"Ambient"
"33",1,2013-02-14,14.6498908360799,27.3357395172119,20.8701715651593,"Ambient"
"34",1,2013-02-15,16.8156433105469,24.0523280461629,20.1056345543001,"Ambient"
"35",1,2013-02-16,14.1855088233948,25.9098399480184,19.6536860397533,"Ambient"
"36",1,2013-02-17,15.8970747947693,26.9389129002889,20.8215410613031,"Ambient"
"37",1,2013-02-18,13.1672272046407,26.8091777801514,19.1465471012677,"Ambient"
"38",1,2013-02-19,15.8098484357198,29.4868544260661,22.2516698477836,"Ambient"
"39",1,2013-02-20,16.9158604939779,29.4527657190959,22.6572132581878,"Ambient"
"40",1,2013-02-21,19.324298731486,28.8771031697591,23.1173789778704,"Ambient"
"41",1,2013-02-22,19.2817628224691,27.2786715189616,23.0715080929913,"Ambient"
